index,mid,display_name,class_3,class_2,class_1
0,/m/09x0r,Speech,Speech,Human Voice,Human Sounds
1,/m/05zppz,Male speech man speaking,Speech,Human Voice,Human Sounds
2,/m/02zsn,Female speech woman speaking,Speech,Human Voice,Human Sounds
3,/m/0ytgt,Child speech kid speaking,Speech,Human Voice,Human Sounds
4,/m/01h8n0,Conversation,Speech,Human Voice,Human Sounds
5,/m/02qldy,Narration monologue,Speech,Human Voice,Human Sounds
6,/m/0261r1,Babbling,Speech,Human Voice,Human Sounds
7,/m/0brhx,Speech synthesizer,Speech,Human Voice,Human Sounds
8,/m/07p6fty,Shout,Shout,Human Voice,Human Sounds
9,/m/07q4ntr,Bellow,Shout,Human Voice,Human Sounds
10,/m/07rwj3x,Whoop,Shout,Human Voice,Human Sounds
11,/m/07sr1lc,Yell,Shout,Human Voice,Human Sounds
12,/m/04gy_2,Battle cry,Shout,Human Voice,Human Sounds
13,/t/dd00135,Children shouting,Shout,Human Voice,Human Sounds
14,/m/03qc9zr,Screaming,Screaming,Human Voice,Human Sounds
15,/m/02rtxlg,Whispering,Whispering,Human Voice,Human Sounds
16,/m/01j3sz,Laughter,Laughter,Human Voice,Human Sounds
17,/t/dd00001,Baby laughter,Laughter,Human Voice,Human Sounds
18,/m/07r660_,Giggle,Laughter,Human Voice,Human Sounds
19,/m/07s04w4,Snicker,Laughter,Human Voice,Human Sounds
20,/m/07sq110,Belly laugh,Laughter,Human Voice,Human Sounds
21,/m/07rgt08,Chuckle chortle,Laughter,Human Voice,Human Sounds
22,/m/0463cq4,Crying sobbing,Crying sobbing,Human Voice,Human Sounds
23,/t/dd00002,Baby cry infant cry,Crying sobbing,Human Voice,Human Sounds
24,/m/07qz6j3,Whimper,Crying sobbing,Human Voice,Human Sounds
25,/m/07qw_06,Wail moan,Wail moan,Human Voice,Human Sounds
26,/m/07plz5l,Sigh,Sigh,Human Voice,Human Sounds
27,/m/015lz1,Singing,Singing,Human Voice,Human Sounds
28,/m/0l14jd,Choir,Singing,Human Voice,Human Sounds
29,/m/01swy6,Yodeling,Singing,Human Voice,Human Sounds
30,/m/02bk07,Chant,Singing,Human Voice,Human Sounds
31,/m/01c194,Mantra,Singing,Human Voice,Human Sounds
32,/t/dd00003,Male singing,Singing,Human Voice,Human Sounds
33,/t/dd00004,Female singing,Singing,Human Voice,Human Sounds
34,/t/dd00005,Child singing,Singing,Human Voice,Human Sounds
35,/t/dd00006,Synthetic singing,Singing,Human Voice,Human Sounds
36,/m/06bxc,Rapping,Singing,Human Voice,Human Sounds
37,/m/02fxyj,Humming,Humming,Human Voice,Human Sounds
38,/m/07s2xch,Groan,Groan,Human Voice,Human Sounds
39,/m/07r4k75,Grunt,Grunt,Human Voice,Human Sounds
40,/m/01w250,Whistling,Whistling,Whistling,Human Sounds
41,/m/0lyf6,Breathing,Breathing,Respiratory sounds,Human Sounds
42,/m/07mzm6,Wheeze,Breathing,Respiratory sounds,Human Sounds
43,/m/01d3sd,Snoring,Breathing,Respiratory sounds,Human Sounds
44,/m/07s0dtb,Gasp,Breathing,Respiratory sounds,Human Sounds
45,/m/07pyy8b,Pant,Breathing,Respiratory sounds,Human Sounds
46,/m/07q0yl5,Snort,Breathing,Respiratory sounds,Human Sounds
47,/m/01b_21,Cough,Cough,Respiratory sounds,Human Sounds
48,/m/0dl9sf8,Throat clearing,Cough,Respiratory sounds,Human Sounds
49,/m/01hsr_,Sneeze,Sneeze,Respiratory sounds,Human Sounds
50,/m/07ppn3j,Sniff,Sniff,Respiratory sounds,Human Sounds
51,/m/06h7j,Run,Run,Human Locomotion,Human Sounds
52,/m/07qv_x_,Shuffle,Shuffle,Human Locomotion,Human Sounds
53,/m/07pbtc8,Walk footsteps,Walk footsteps,Human Locomotion,Human Sounds
54,/m/03cczk,Chewing mastication,Chewing mastication,Digestive,Human Sounds
55,/m/07pdhp0,Biting,Biting,Digestive,Human Sounds
56,/m/0939n_,Gargling,Gargling,Digestive,Human Sounds
57,/m/01g90h,Stomach rumble,Stomach rumble,Digestive,Human Sounds
58,/m/03q5_w,Burping eructation,Burping eructation,Digestive,Human Sounds
59,/m/02p3nc,Hiccup,Hiccup,Digestive,Human Sounds
60,/m/02_nn,Fart,Fart,Digestive,Human Sounds
61,/m/0k65p,Hands,Hands,Hands,Human Sounds
62,/m/025_jnm,Finger snapping,Finger snapping,Hands,Human Sounds
63,/m/0l15bq,Clapping,Clapping,Hands,Human Sounds
64,/m/01jg02,Heart sounds heartbeat,Heart sounds heartbeat,Heart sounds heartbeat,Human Sounds
65,/m/01jg1z,Heart murmur,Heart murmur,Heart sounds heartbeat,Human Sounds
66,/m/053hz1,Cheering,Cheering,Human group actions,Human Sounds
67,/m/028ght,Applause,Applause,Human group actions,Human Sounds
68,/m/07rkbfh,Chatter,Chatter,Human group actions,Human Sounds
69,/m/03qtwd,Crowd,Crowd,Human group actions,Human Sounds
70,/m/07qfr4h,Hubbub speech noise speech babble,Hubbub speech noise speech babble,Human group actions,Human Sounds
71,/t/dd00013,Children playing,Children playing,Human group actions,Human Sounds
72,/m/0jbk,Animal,Animal,Animal,Animal
73,/m/068hy,Domestic animals pets,Domestic animals pets,Domestic animals pets,Animal
74,/m/0bt9lr,Dog,Dog,Domestic animals pets,Animal
75,/m/05tny_,Bark,Dog,Domestic animals pets,Animal
76,/m/07r_k2n,Yip,Dog,Domestic animals pets,Animal
77,/m/07qf0zm,Howl,Dog,Domestic animals pets,Animal
78,/m/07rc7d9,Bow-wow,Dog,Domestic animals pets,Animal
79,/m/0ghcn6,Growling,Dog,Domestic animals pets,Animal
80,/t/dd00136,Whimper (dog),Dog,Domestic animals pets,Animal
81,/m/01yrx,Cat,Cat,Domestic animals pets,Animal
82,/m/02yds9,Purr,Cat,Domestic animals pets,Animal
