YTID,start_seconds,end_seconds,positive_labels
--ZhevVpy1s,50.0,60.0,/m/012xff
--aO5cdqSAg,30.0,40.0,"/t/dd00003,/t/dd00005"
-0FHUc78Gqo,30.0,40.0,"/m/02w4v,/m/04rlf"
-0Vl4HyWRk8,410.0,420.0,"/m/085jw,/m/0l14l2"
-0mG4W5Hlq8,270.0,280.0,"/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt"
-3IYpJfLVJk,30.0,40.0,"/m/03k3r,/m/07q5rw0,/m/0jbk"
-6fxJZ7CW00,30.0,40.0,/m/07pjjrj
-6sgMgtW91g,20.0,30.0,"/m/04rlf,/m/05rj2,/m/09x0r"
-7WpTk5AHfk,30.0,40.0,"/m/04rlf,/m/07pws3f,/m/09x0r"
-7aibH1LKwI,90.0,100.0,/t/dd00121
-AvC89aikTw,180.0,190.0,/m/0242l
-DYZX74qgFQ,30.0,40.0,"/m/04rlf,/t/dd00032"
-FVBrg2qeIA,90.0,100.0,"/m/0342h,/m/04rlf,/m/04szw,/m/07rwj3x,/m/09x0r,/m/0fx80y"
-G3Ph35cTy0,30.0,40.0,"/m/09x0r,/t/dd00136"
-H5WnRXsnoM,130.0,140.0,"/m/07qwdck,/m/09x0r,/t/dd00125"
-IKwiAsgpAI,500.0,510.0,"/m/02p01q,/m/07pdjhy,/m/083vt"
-JfXNXGi-l8,70.0,80.0,/m/03wvsk
-KElVp2r03E,530.0,540.0,"/m/018w8,/m/07rjzl8,/m/09x0r"
-LQM385KSMY,30.0,40.0,"/m/0155w,/m/04rlf,/m/06j6l,/m/06rqw"
-NNjOlPg0y0,0.0,5.0,"/m/04rlf,/m/07c52"
-N_vl1d7TFA,30.0,40.0,"/m/01yrx,/m/02yds9,/m/04rlf,/m/068hy,/m/0jbk"
-QoZQDW4qjU,30.0,40.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
-Sclnq22t7o,30.0,40.0,/m/03q5_w
-T4GeTHKtJQ,30.0,40.0,"/m/02x8m,/m/04rlf"
-Uw2HHni78U,80.0,90.0,"/m/0jb2l,/m/0ngt1"
-VygdbfiRes,30.0,40.0,"/m/07swgks,/m/09x0r"
-YGmAv-5bYk,30.0,40.0,"/m/01sm1g,/m/0l14md"
-YZRsLrmqEA,0.0,10.0,/m/07pzfmf
-d6ytV5GfH4,30.0,40.0,"/m/07yv9,/m/09ct_"
-dUX-8UM_jo,30.0,40.0,"/m/01z7dr,/m/04rlf,/m/0l14gg"
-e2cBx-fZ7g,270.0,280.0,"/m/02mscn,/m/04rlf"
-gStrDahsjU,20.0,30.0,"/m/03wwcy,/m/04rlf,/m/09x0r,/t/dd00126"
-giyfFI9pko,90.0,100.0,/m/0164x2
-gxkMOB4q2g,60.0,70.0,"/m/04rlf,/m/06j6l,/m/07p78v5"
-hKi6_xqPPI,40.0,50.0,"/m/04rlf,/t/dd00006"
-iEvwLCjYXE,50.0,60.0,"/m/025wky1,/m/09x0r,/t/dd00125"
-kt1BF31gIY,0.0,5.0,"/m/01yrx,/m/02yds9,/m/0jbk"
-mCvRi0gVE8,30.0,40.0,"/m/04rlf,/m/07pws3f"
-oGhPs2S17Q,30.0,40.0,"/m/04rlf,/m/07pws3f"
-oSZw8b-vgU,30.0,40.0,"/m/07r660_,/m/09x0r"
-pnursBn7wk,240.0,250.0,"/m/02g901,/m/04rlf,/m/09x0r"
-s9kwrRilOY,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9"
-uuCV1W6jYk,80.0,90.0,/m/0239kh
-uzavgbcJVA,6.0,16.0,"/m/07qlf79,/m/09x0r"
-wMsOTnj0XE,340.0,350.0,"/m/07qw_06,/m/09x0r"
-wfRMEaJkRk,30.0,40.0,"/m/012f08,/m/07rknqz,/m/07yv9,/m/0k4j"
-wip6fvA10Q,19.0,29.0,"/m/07pzfmf,/m/09x0r"
-xYBYEJ_O6w,10.0,20.0,"/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr"
-yXsEIH3Tbg,110.0,120.0,"/m/015lz1,/m/04rlf,/m/07q4ntr"
-z7B966NFRE,60.0,70.0,"/m/01jt3m,/m/0838f"
02QXbqf9bbw,350.0,360.0,"/m/07bjf,/m/09x0r,/m/0dv5r"
03EmZCCkf-E,24.0,34.0,"/m/07pl1bw,/m/083vt"
03lAXcmqsMU,30.0,40.0,/m/0dl9sf8
05H3CBB2oiI,30.0,40.0,/m/07qv_x_
07T0BRnolXg,30.0,40.0,"/m/09x0r,/m/0dv3j"
0AV_U7kjgLU,190.0,200.0,"/m/015jpf,/m/04rlf,/m/064t9,/m/09x0r"
0BvcQAgQ0SE,26.0,36.0,/m/0242l
0E7qHzvEuyU,60.0,70.0,/m/07plct2
0FCFuHAWpv8,280.0,290.0,"/m/03qtwd,/m/04gy_2"
0GXfryMBkGw,500.0,510.0,"/m/015lz1,/m/02bk07,/m/04rlf,/m/07brj,/m/09x0r,/m/0l14jd,/m/0y4f8"
0N0ehlFFkF0,60.0,70.0,"/m/015lz1,/m/016cjb,/m/04rlf,/m/0l14jd"
0Nie2fq4Z00,30.0,40.0,"/m/02w4v,/m/04rlf"
0NmeO0eH9ig,300.0,310.0,"/m/07qyrcz,/m/09x0r"
0Pok_BH75zY,0.0,10.0,"/m/02cz_7,/m/09x0r,/t/dd00125"
0SuuPw45rLk,22.0,32.0,/m/07rv4dm
0TIuwSaevec,30.0,40.0,"/m/04rlf,/t/dd00032"
0Tgam1uSqm4,440.0,450.0,"/m/03cczk,/m/09x0r,/m/0ytgt"
0Us4I_vXrf4,11.0,21.0,"/m/06h7j,/m/09x0r,/t/dd00127"
0Y74Yz__IEY,160.0,170.0,"/m/01kcd,/m/06ncr"
0YjENFbHCfU,1.0,11.0,/m/02pjr4
0ZvSn_SZFXQ,0.0,10.0,/m/018w8
0aqEAvk8zQY,280.0,290.0,"/m/07s04w4,/m/09x0r"
0bR-EsIOoz0,10.0,20.0,"/m/07yv9,/m/09x0r,/m/0h9mv,/m/0k4j,/m/0ltv"
0c-nIj_HjmY,0.0,10.0,"/m/04rlf,/m/07pqn27"
0c7a5ZyEtf4,0.0,10.0,"/m/04rlf,/m/0b_fwt"
0cwIKnoMEBE,40.0,50.0,"/m/07pp_mv,/m/0c3f7m"
0exdCRkBniI,300.0,310.0,"/m/04rlf,/m/06bxc,/m/0glt670"
0i2tnmGFHsI,30.0,40.0,"/m/01jnbd,/m/04rlf"
0mgA3_glqYo,160.0,170.0,/m/07pqc89
0nYhDvktiJo,50.0,60.0,"/m/015lz1,/m/04rlf,/m/05rwpb"
0ogrLUe_WSY,40.0,50.0,"/m/03dnzn,/m/0838f"
0pr3Huz6pq8,180.0,190.0,"/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
0qCbtn--t6Q,30.0,40.0,/t/dd00134
0qMF1IbyV3I,60.0,70.0,"/m/01280g,/m/0cdnk,/m/0jbk"
0wBoVQQOyGA,30.0,40.0,"/m/01z7dr,/m/04rlf"
0wLyVkC2mqA,210.0,220.0,"/m/03qtwd,/m/053hz1,/t/dd00135"
0xX5k9enX1M,50.0,60.0,/m/0brhx
0y1cx6UZNWo,100.0,110.0,/m/0z9c
1-dMI6S5rLs,21.0,31.0,"/m/04rlf,/t/dd00031"
12_M0UL7Vfg,30.0,40.0,"/m/04rlf,/t/dd00006"
13tn4LAAFWU,460.0,470.0,"/m/07qcx4z,/m/09x0r,/t/dd00125"
15q_K5r3RzU,0.0,10.0,/t/dd00001
164R3i5s7-8,40.0,50.0,"/m/03vt0,/m/09f96,/m/0h2mp"
17b8kaVOi9c,30.0,40.0,/t/dd00006
17w1AX8H0_M,80.0,90.0,"/m/02bk07,/m/04rlf"
1BXaCy0ox3c,280.0,290.0,/m/012xff
1DH7AhyL0KU,13.0,23.0,"/m/07qlf79,/m/09x0r"
1Eyl9QV-tyw,260.0,270.0,"/m/03qtwd,/t/dd00135"
1FQjqLc6m7w,30.0,40.0,"/m/0939n_,/m/09x0r"
1GSgIoyfFco,30.0,40.0,"/m/03k3r,/m/07q5rw0,/m/09x0r,/m/0jbk"
1HRReYt9Ytc,30.0,40.0,"/m/04rlf,/m/0l14jd,/t/dd00004"
1He7811HtcI,27.0,37.0,"/m/07pczhz,/m/07pl1bw,/m/083vt"
1JA4xWUWnxk,490.0,500.0,/m/07qqyl4
1JP7w0w8T44,10.0,20.0,"/m/07pdhp0,/m/0ytgt"
1KUTHIZSYRM,480.0,490.0,"/m/07p7b8y,/m/07ptzwd,/t/dd00125"
1LFAU_QD9Ec,0.0,10.0,/m/07rqsjt
1LHxY6b9JAU,200.0,210.0,/m/0d31p
