,YTID,start_seconds,end_seconds,positive_labels,tags_k,tags,num_keys,num_tags
0,--PJHxphWEs,30.0,40.0,"/m/09x0r,/t/dd00088","['/m/09x0r', '/t/dd00088']","['Human Sounds', 'Sounds of things']",2,2
1,--aE2O5G5WE,0.0,10.0,"/m/03fwl,/m/04rlf,/m/09x0r","['/m/03fwl', '/m/04rlf', '/m/09x0r']","['Animal', 'Music', 'Human Sounds']",3,3
2,--aaILOrkII,200.0,210.0,"/m/032s66,/m/073cg4","['/m/032s66', '/m/073cg4']","['Sounds of things', 'Sounds of things']",2,2
3,--cB2ZVjpnA,30.0,40.0,/m/01y3hg,['/m/01y3hg'],['Sounds of things'],1,1
4,--ekDLDTUXA,30.0,40.0,"/m/015lz1,/m/07pws3f","['/m/015lz1', '/m/07pws3f']","['Human Sounds', 'Source-ambiguous sounds']",2,2
5,-0DLPzsiXXE,30.0,40.0,"/m/04rlf,/m/07qwdck","['/m/04rlf', '/m/07qwdck']","['Music', 'Source-ambiguous sounds']",2,2
6,-0DdlOuIFUI,50.0,60.0,"/m/0130jx,/m/02jz0l,/m/0838f","['/m/0130jx', '/m/02jz0l', '/m/0838f']","['Sounds of things', 'Sounds of things', 'Natural Sounds']",3,3
7,-0O3e95y4gE,100.0,110.0,"/m/07r4wb8,/t/dd00125","['/m/07r4wb8', '/t/dd00125']","['Sounds of things', 'Channel environment and background']",2,2
8,-0SdAVK79lg,30.0,40.0,"/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l","['/m/0155w', '/m/01lyv', '/m/0342h', '/m/042v_gx', '/m/04rlf', '/m/04szw', '/m/07s0s5r', '/m/0fx80y', '/m/0gg8l']","['Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music']",9,9
9,-0mjrMposBM,80.0,90.0,/m/04zmvq,['/m/04zmvq'],['Sounds of things'],1,1
10,-11LhdJgBb8,30.0,40.0,"/m/04rlf,/m/07qn4z3","['/m/04rlf', '/m/07qn4z3']","['Music', 'Animal']",2,2
11,-1LrH01Ei1w,30.0,40.0,"/m/02p0sh1,/m/04rlf","['/m/02p0sh1', '/m/04rlf']","['Music', 'Music']",2,2
12,-1TLtjPtnms,10.0,20.0,"/m/03lty,/m/04rlf,/m/07szfh9","['/m/03lty', '/m/04rlf', '/m/07szfh9']","['Music', 'Music', 'Channel environment and background']",3,3
13,-1iKLvsRBbE,80.0,90.0,"/m/015lz1,/m/07pws3f","['/m/015lz1', '/m/07pws3f']","['Human Sounds', 'Source-ambiguous sounds']",2,2
14,-24dqQM_rDk,30.0,40.0,"/m/04rlf,/t/dd00003","['/m/04rlf', '/t/dd00003']","['Music', 'Human Sounds']",2,2
15,-275_wTLm-4,7.0,17.0,/m/07q6cd_,['/m/07q6cd_'],['Sounds of things'],1,1
16,-28U1_qW0sU,30.0,40.0,/m/07qwdck,['/m/07qwdck'],['Source-ambiguous sounds'],1,1
17,-2PDE7hUArE,30.0,40.0,"/m/02mk9,/m/07pb8fc,/t/dd00066","['/m/02mk9', '/m/07pb8fc', '/t/dd00066']","['Sounds of things', 'Sounds of things', 'Sounds of things']",3,3
18,-2X03mO3T_U,30.0,40.0,"/m/04k94,/m/0dv3j","['/m/04k94', '/m/0dv3j']","['Sounds of things', 'Sounds of things']",2,2
19,-2hQKCE-oTI,30.0,40.0,/m/07pbtc8,['/m/07pbtc8'],['Human Sounds'],1,1
20,-30H9V1IKps,6.0,16.0,"/m/07yv9,/m/09x0r,/m/0gvgw0","['/m/07yv9', '/m/09x0r', '/m/0gvgw0']","['Sounds of things', 'Human Sounds', 'Sounds of things']",3,3
